Date,Open,High,Low,Close,Volume,Adj Close,,
6/21/2004,113.75,114.940002,112.669998,113.839996,33261600,89.582222,,113.839996
6/28/2004,114.519997,114.790001,112.580002,112.879997,42764600,88.82679,,112.879997
7/6/2004,112.370003,112.57,111.199997,111.730003,35310500,87.921844,,111.730003
7/12/2004,111.519997,112.389999,110.440002,110.709999,39161400,87.119186,,110.709999
7/19/2004,110.75,112.059998,108.690002,108.959999,52920200,85.742088,,108.959999
7/26/2004,109.190002,110.900002,108.209999,110.839996,52123700,87.221481,,110.839996
8/2/2004,110.190002,111.360001,106.620003,106.849998,49095200,84.081703,,106.849998
8/9/2004,107.019997,108.410004,106.589996,107.190002,47586100,84.349258,,107.190002
8/16/2004,107.139999,110.629997,107.099998,110.480003,42870200,86.938202,,110.480003
8/23/2004,110.550003,111.629997,109.849998,111.449997,30856400,87.7015,,111.449997
8/30/2004,111.220001,112.82,110.099998,112.120003,39369400,88.228737,,112.120003
9/7/2004,112.540001,113.269997,112.029999,113.059998,33129300,88.96843,,113.059998
9/13/2004,113.309998,113.739998,112.68,113.150002,33667300,89.409889,,113.150002
9/20/2004,112.669998,113.470001,110.949997,111.459999,41232400,88.074471,,111.459999
9/27/2004,111.099998,113.650002,110.410004,113.650002,44140900,89.804985,,113.650002
10/4/2004,114.099998,114.68,112.349998,112.510002,40710400,88.904167,,112.510002
10/11/2004,112.779999,113.07,110.57,111.260002,48752100,87.916435,,111.260002
10/18/2004,110.889999,112.230003,109.75,109.989998,51695200,86.912888,,109.989998
10/25/2004,109.75,113.639999,109.349998,113.199997,55091500,89.449394,,113.199997
11/1/2004,113.559998,117.639999,113.199997,117.279999,57705700,92.67337,,117.279999
11/8/2004,116.980003,119,116.720001,118.790001,43446800,93.866554,,118.790001
11/15/2004,118.5,119.139999,117.139999,117.419998,43190200,93.05896,,117.419998
11/22/2004,117.169998,118.980003,117.029999,118.349998,31185300,93.796013,,118.349998
11/29/2004,118.790001,120.139999,117.480003,119.25,54855100,94.509293,,119.25
12/6/2004,119.209999,119.639999,117.730003,119.330002,47544800,94.572701,,119.330002
12/13/2004,119.760002,121.239998,119.160004,119.440002,49828900,95.107033,,119.440002
12/20/2004,119.75,121.279999,119.169998,120.769997,34357100,96.166077,,120.769997
12/27/2004,121.199997,121.660004,120.389999,120.870003,25148600,96.245705,,120.870003
1/3/2005,121.559998,121.760002,118,118.440002,58849000,94.31076,,118.440002
1/10/2005,118.339996,119.459999,117.5,118.239998,57990700,94.151497,,118.239998
1/18/2005,118.050003,119.620003,116.650002,116.779999,61745000,92.988937,,116.779999
1/24/2005,117.089996,117.75,116.370003,117.43,60099900,93.506523,,117.43
1/31/2005,117.949997,120.43,117.709999,120.230003,50740900,95.736092,,120.230003
2/7/2005,120.25,121.040001,119.25,120.769997,47789300,96.166077,,120.769997
2/14/2005,120.690002,121.459999,119.900002,120.389999,47531000,95.863495,,120.389999
2/22/2005,119.900002,121.669998,118.580002,121.43,69613400,96.69162,,121.43
2/28/2005,121.150002,122.830002,120.040001,122.730003,59660300,97.726776,,122.730003
3/7/2005,122.660004,123.25,120.160004,120.389999,56838700,95.863495,,120.389999
3/14/2005,120.610001,121.459999,118.150002,118.540001,59293000,94.761139,,118.540001
3/21/2005,118.709999,118.93,116.75,117.139999,69116600,93.641975,,117.139999
3/28/2005,117.419998,118.989998,116.25,117.43,67951700,93.873802,,117.43
4/4/2005,117.360001,119.260002,116.739998,118,56442100,94.329468,,118
4/11/2005,118.290001,119.059998,114.099998,114.150002,84367100,91.25177,,114.150002
4/18/2005,114.120003,116.5,113.550003,115.57,89699800,92.386917,,115.57
4/25/2005,115.860001,116.769997,113.970001,115.75,77103400,92.530807,,115.75
5/2/2005,116.07,118,115.519997,117.089996,77480900,93.602005,,117.089996
5/9/2005,117.209999,118.080002,114.800003,115.720001,78073000,92.506828,,115.720001
5/16/2005,115.699997,119.410004,115.660004,119.120003,59267400,95.2248,,119.120003
5/23/2005,119.209999,120.25,118.830002,120.25,43432600,96.12812,,120.25
5/31/2005,120.080002,120.919998,119.400002,120.150002,53423000,96.04818,,120.150002
6/6/2005,119.949997,121.25,119.440002,120.199997,48509500,96.08815,,120.199997
6/13/2005,119.940002,121.900002,119.809998,121.360001,46905900,97.407013,,121.360001
6/20/2005,121.080002,121.940002,118.839996,118.980003,49593400,95.496758,,118.980003
6/27/2005,118.970001,120.400002,118.75,119.529999,48740100,95.938202,,119.529999
7/5/2005,119.25,121.32,118.260002,121.32,67918100,97.374908,,121.32
7/11/2005,121.330002,123.440002,121.309998,122.839996,52491200,98.594902,,122.839996
7/18/2005,122.5,123.730003,122.050003,123.540001,67791800,99.156746,,123.540001
7/25/2005,123.410004,124.639999,122.849998,123.739998,50696100,99.317268,,123.739998
8/1/2005,123.830002,124.739998,122.669998,122.879997,45370700,98.627007,,122.879997
8/8/2005,123.150002,124.5,122.379997,123.059998,56199300,98.771477,,123.059998
8/15/2005,123.220001,123.870003,121.839996,122.470001,52731200,98.297928,,122.470001
8/22/2005,122.580002,123.230003,120.68,120.760002,60354600,96.925438,,120.760002
8/29/2005,120.410004,123.150002,120.379997,122.269997,71103300,98.137398,,122.269997
9/6/2005,122.660004,124.739998,122.650002,124.599998,45290900,100.00753,,124.599998
9/12/2005,124.449997,124.669998,122.870003,123.5,59544100,99.546585,,123.5
9/19/2005,123.470001,123.610001,120.440002,121.440002,75254000,97.886139,,121.440002
9/26/2005,122.019997,123.040001,121.019997,123.040001,61923700,99.175804,,123.040001
10/3/2005,122.959999,123.339996,118.169998,119.610001,86885200,96.411072,,119.610001
10/10/2005,119.68,119.709999,116.879997,118.669998,83304200,95.653389,,118.669998
10/17/2005,118.800003,119.809998,117.120003,118.129997,97643200,95.218124,,118.129997
10/24/2005,118.440002,120.540001,117.93,119.800003,73540700,96.564224,,119.800003
10/31/2005,120.290001,122.660004,120.129997,122.110001,72425900,98.426186,,122.110001
11/7/2005,122.370003,123.839996,121.75,123.760002,52100000,99.756157,,123.760002
11/14/2005,123.790001,125.279999,122.860001,125.129997,58794400,100.860435,,125.129997
11/21/2005,125.150002,127.410004,124.980003,127.129997,45646100,102.472527,,127.129997
11/28/2005,127.25,127.269997,125.290001,126.849998,54882400,102.246834,,126.849998
12/5/2005,126.699997,127.739998,125.480003,126.330002,59475600,101.827698,,126.330002
12/12/2005,126.709999,128.089996,125.959999,126.360001,60706800,102.3918,,126.360001
12/19/2005,126.730003,126.870003,125.480003,126.760002,41473600,102.715927,,126.760002
12/27/2005,126.959999,127.050003,124.360001,124.510002,38174500,100.892708,,124.510002
1/3/2006,125.190002,128.580002,124.389999,128.440002,58837400,104.077263,,128.440002
1/9/2006,128.419998,129.440002,128.199997,128.679993,44690600,104.271729,,128.679993
1/17/2006,128.199997,128.899994,125.970001,125.970001,80905600,102.075775,,125.970001
1/23/2006,126.209999,128.660004,125.839996,128.539993,68967800,104.158287,,128.539993
1/30/2006,128.440002,128.809998,126.139999,126.269997,67974900,102.318863,,126.269997
2/6/2006,126.440002,128.100006,125.400002,126.639999,60534800,102.618683,,126.639999
2/13/2006,126.599998,129.210007,125.949997,128.809998,66020900,104.377075,,128.809998
2/21/2006,129.110001,129.649994,128.279999,129.410004,42245900,104.863274,,129.410004
2/27/2006,129.399994,130.070007,128.130005,128.759995,58587900,104.336555,,128.759995
3/6/2006,129.139999,129.179993,127.18,128.589996,60551200,104.198807,,128.589996
3/13/2006,128.839996,131.470001,128.529999,130.619995,56313700,106.264648,,130.619995
3/20/2006,130.639999,130.990005,129.449997,130.210007,54832000,105.931107,,130.210007
3/27/2006,130.029999,130.979996,129.050003,129.830002,61921100,105.621956,,129.830002
4/3/2006,130.070007,131.399994,129.350006,129.539993,61025600,105.386024,,129.539993
4/10/2006,129.740005,130.080002,128.25,128.710007,52095300,104.7108,,128.710007
4/17/2006,128.830002,131.860001,128.020004,131.149994,80463300,106.695824,,131.149994
4/24/2006,130.889999,131.75,129.589996,131.470001,76900300,106.956161,,131.470001
5/1/2006,131.470001,132.800003,130.320007,132.520004,56076900,107.810387,,132.520004
5/8/2006,132.509995,132.770004,129.190002,129.240005,59322400,105.141975,,129.240005
5/15/2006,128.789993,130,125.800003,127.099998,100634400,103.400993,,127.099998
5/22/2006,126.279999,128.380005,124.760002,128.380005,102646300,104.442329,,128.380005
